model,kind,severity,accuracy,stability,n_images,seed
M3,geo,0.2,0.8876518218623481,0.9770363062499505,988,0
M3,geo,0.4,0.8927125506072875,0.9684591524996738,988,0
M3,geo,0.6,0.8805668016194332,0.9579916753266987,988,0
M3,geo,0.8,0.8694331983805668,0.9501082134632929,988,0
M3,geo,1.0,0.8522267206477733,0.941261314670084,988,0
M3,photo,0.0,0.9048582995951417,1.0,988,0
M3,photo,0.2,0.9008097165991903,0.999069372169402,988,0
M3,photo,0.4,0.9008097165991903,0.9968631682608292,988,0
M3,photo,0.6,0.8866396761133604,0.9931361279506915,988,0
M3,photo,0.8,0.8805668016194332,0.9872150980991873,988,0
M3,photo,1.0,0.8714574898785425,0.9777820872874395,988,0
M3,blur,0.0,0.9048582995951417,1.0,988,0
M3,blur,0.2,0.9078947368421053,0.9914148983202482,988,0
M3,blur,0.4,0.8694331983805668,0.9592416624308597,988,0
M3,blur,0.6,0.8066801619433198,0.910271015244457,988,0
M3,blur,0.8,0.7095141700404858,0.8383494099142098,988,0
M3,blur,1.0,0.5951417004048583,0.7692884684574266,988,0
M3,noise,0.0,0.9048582995951417,1.0,988,0
M3,noise,0.2,0.8866396761133604,0.987715844683319,988,0
M3,noise,0.4,0.8825910931174089,0.9784497307379719,988,0
M3,noise,0.6,0.8653846153846154,0.968088761997609,988,0
M3,noise,0.8,0.8532388663967612,0.9564146744577509,988,0
M3,noise,1.0,0.8431174089068826,0.9421059824677132,988,0
M3,moire,0.0,0.9048582995951417,1.0,988,0
M3,moire,0.2,0.8927125506072875,0.9864520428151737,988,0
M3,moire,0.4,0.8694331983805668,0.9696637261734318,988,0
M3,moire,0.6,0.8502024291497976,0.9511002046376588,988,0
M3,moire,0.8,0.8319838056680162,0.9320022664089435,988,0
M3,moire,1.0,0.7935222672064778,0.911285400390625,988,0
M3,combined,0.0,0.9048582995951417,1.0,988,0
M3,combined,0.2,0.8643724696356275,0.9536055591907578,988,0
M3,combined,0.4,0.7813765182186235,0.8927060679385537,988,0
M3,combined,0.6,0.6680161943319838,0.8041464519886835,988,0
M3,combined,0.8,0.520242914979757,0.6998319838211121,988,0
M3,combined,1.0,0.37955465587044535,0.5923766723045936,988,0
M3-t0,geo,0.0,0.032388663967611336,1.0,988,0
M3-t0,geo,0.2,0.032388663967611336,0.9999379088521486,988,0
M3-t0,geo,0.4,0.032388663967611336,0.9999116094488847,988,0
M3-t0,geo,0.6,0.032388663967611336,0.9998903023569208,988,0
M3-t0,geo,0.8,0.032388663967611336,0.9998704721087869,988,0
M3-t0,geo,1.0,0.032388663967611336,0.9998505434043977,988,0
M3-t0,photo,0.0,0.032388663967611336,1.0,988,0
M3-t0,photo,0.2,0.032388663967611336,0.9999971100193287,988,0
M3-t0,photo,0.4,0.032388663967611336,0.9999896736762784,988,0
M3-t0,photo,0.6,0.032388663967611336,0.9999784747598625,988,0
M3-t0,photo,0.8,0.032388663967611336,0.9999627140369493,988,0
